dataset,model,strategy,n_queries,n_skipped,n_corpus,avg_negatives,mrr,hard_negative_top1_error_rate,mean_positive_margin,median_positive_margin,recall_at_1,recall_at_5,recall_at_10
scienceqa,tfidf,random,198,0,190,20.0,0.9949494949494949,0.010101010101010102,0.3088524947444281,0.3010388273475884,0.98989898989899,1.0,1.0
scienceqa,tfidf,same_subject,198,0,190,20.0,0.97516835016835,0.045454545454545456,0.24540302554941526,0.2393485004953575,0.9545454545454546,1.0,1.0
scienceqa,tfidf,same_topic,196,2,190,14.88265306122449,0.9448979591836736,0.09693877551020408,0.1869277505476015,0.12889448965815198,0.9030612244897959,1.0,1.0
scienceqa,tfidf,same_skill,153,45,190,2.183006535947712,0.940631808278867,0.10457516339869281,0.16496278557938915,0.11957685213394478,0.8954248366013072,1.0,1.0
scienceqa,bm25,random,198,0,190,20.0,0.9949494949494949,0.010101010101010102,51.04531480326897,40.39474141315769,0.98989898989899,1.0,1.0
scienceqa,bm25,same_subject,198,0,190,20.0,0.97516835016835,0.045454545454545456,41.980531273920455,29.402855813739873,0.9545454545454546,1.0,1.0
scienceqa,bm25,same_topic,196,2,190,14.88265306122449,0.9431972789115647,0.10204081632653061,31.88639641262644,19.33272494678458,0.8979591836734694,1.0,1.0
scienceqa,bm25,same_skill,153,45,190,2.183006535947712,0.9248366013071896,0.13725490196078433,27.04065520105973,16.99351276044506,0.8627450980392157,1.0,1.0
tqa_ck12,tfidf,random,200,0,9,8.0,0.8466666666666666,0.305,0.1231718280134403,0.06396417435912921,0.695,1.0,1.0
tqa_ck12,tfidf,same_subject,200,0,9,8.0,0.8466666666666666,0.305,0.1231718280134403,0.06396417435912921,0.695,1.0,1.0
tqa_ck12,tfidf,same_topic,151,49,9,1.0,0.8145695364238411,0.3708609271523179,0.02955254033185185,0.04071909896405751,0.6291390728476821,1.0,1.0
tqa_ck12,tfidf,same_skill,193,7,9,2.2487046632124352,0.9870466321243523,0.025906735751295335,0.3102997693557118,0.2704791994941071,0.9740932642487047,1.0,1.0
tqa_ck12,bm25,random,200,0,9,8.0,0.9166666666666667,0.16,1.1140124705734065,0.42254903436444824,0.84,1.0,1.0
tqa_ck12,bm25,same_subject,200,0,9,8.0,0.9166666666666667,0.16,1.1140124705734065,0.42254903436444824,0.84,1.0,1.0
tqa_ck12,bm25,same_topic,151,49,9,1.0,0.9867549668874173,0.026490066225165563,0.49083086689335426,0.42536189094106547,0.9735099337748344,1.0,1.0
tqa_ck12,bm25,same_skill,193,7,9,2.2487046632124352,0.9395509499136443,0.11917098445595854,2.8330801613798453,2.458648866569962,0.8808290155440415,1.0,1.0
